PLAYER,Größe in cm (Umrechnung von Inches),Gewicht in kg,GP,PTS,Historical
Boban Marjanovic,223.52,131.5417873,31.0,3.3,Aktuelle Spieler
Kristaps Porzingis,220.98,108.8621688,65.0,23.2,Aktuelle Spieler
Alex Len,218.44,113.3980925,26.0,1.7,Aktuelle Spieler
Bol Bol,218.44,99.7903214,70.0,9.1,Aktuelle Spieler
Luke Kornet,218.44,113.3980925,69.0,3.8,Aktuelle Spieler
Moses Brown,218.44,111.13013065,36.0,4.3,Aktuelle Spieler
Brook Lopez,215.9,127.91304834,78.0,15.9,Aktuelle Spieler
Domantas Sabonis,215.9,108.8621688,79.0,19.1,Aktuelle Spieler
Jakob Poeltl,215.9,111.13013065,72.0,12.5,Aktuelle Spieler
Jay Huff,215.9,108.8621688,7.0,7.3,Aktuelle Spieler
Rudy Gobert,215.9,117.02683146,70.0,13.4,Aktuelle Spieler
Aleksej Pokusevski,213.36,95.2543977,34.0,8.1,Aktuelle Spieler
Christian Koloko,213.36,104.3262451,58.0,3.1,Aktuelle Spieler
Deandre Ayton,213.36,113.3980925,67.0,18.0,Aktuelle Spieler
Frank Kaminsky,213.36,108.8621688,36.0,2.5,Aktuelle Spieler
Giannis Antetokounmpo,213.36,110.22294591,63.0,31.1,Aktuelle Spieler
Isaiah Hartenstein,213.36,113.3980925,82.0,5.0,Aktuelle Spieler
Ivica Zubac,213.36,108.8621688,76.0,10.8,Aktuelle Spieler
JaVale McGee,213.36,122.4699399,42.0,4.4,Aktuelle Spieler
James Wiseman,213.36,108.8621688,45.0,10.0,Aktuelle Spieler
Jaxson Hayes,213.36,99.7903214,47.0,5.0,Aktuelle Spieler
Joel Embiid,213.36,127.0058636,66.0,33.1,Aktuelle Spieler
John Butler Jr.,213.36,86.1825503,19.0,2.4,Aktuelle Spieler
Jusuf Nurkic,213.36,131.5417873,52.0,13.3,Aktuelle Spieler
Karl-Anthony Towns,213.36,112.49090776,29.0,20.8,Aktuelle Spieler
Lauri Markkanen,213.36,108.8621688,66.0,25.6,Aktuelle Spieler
Mark Williams,213.36,108.8621688,43.0,9.0,Aktuelle Spieler
Marko Simonovic,213.36,99.7903214,7.0,0.9,Aktuelle Spieler
Mason Plumlee,213.36,115.21246198,79.0,10.8,Aktuelle Spieler
Meyers Leonard,213.36,117.9340162,9.0,4.8,Aktuelle Spieler
Mitchell Robinson,213.36,108.8621688,59.0,7.4,Aktuelle Spieler
Mo Bamba,213.36,104.77983747,49.0,6.6,Aktuelle Spieler
Neemias Queta,213.36,112.49090776,5.0,2.4,Aktuelle Spieler
Nick Richards,213.36,111.13013065,65.0,8.2,Aktuelle Spieler
Robin Lopez,213.36,127.45945597,37.0,3.0,Aktuelle Spieler
Santi Aldama,213.36,97.52235955,77.0,9.0,Aktuelle Spieler
Walker Kessler,213.36,111.13013065,74.0,9.2,Aktuelle Spieler
Alperen Sengun,210.82,110.22294591,75.0,14.8,Aktuelle Spieler
Andre Drummond,210.82,126.55227123,67.0,6.0,Aktuelle Spieler
Bobby Portis,210.82,113.3980925,70.0,14.1,Aktuelle Spieler
Cody Zeller,210.82,108.8621688,15.0,6.5,Aktuelle Spieler
Damian Jones,210.82,111.13013065,41.0,3.5,Aktuelle Spieler
DeAndre Jordan,210.82,120.20197805,39.0,5.1,Aktuelle Spieler
Evan Mobley,210.82,97.52235955,79.0,16.2,Aktuelle Spieler
Goga Bitadze,210.82,113.3980925,38.0,4.4,Aktuelle Spieler
Jabari Smith Jr.,210.82,99.7903214,79.0,12.8,Aktuelle Spieler
Jalen Duren,210.82,113.3980925,67.0,9.1,Aktuelle Spieler
Jock Landale,210.82,115.66605435,69.0,6.6,Aktuelle Spieler
Jonas Valanciunas,210.82,120.20197805,79.0,14.1,Aktuelle Spieler
Kai Jones,210.82,100.24391377,46.0,3.4,Aktuelle Spieler
Kelly Olynyk,210.82,108.8621688,68.0,12.5,Aktuelle Spieler
Mike Muscala,210.82,108.8621688,63.0,6.1,Aktuelle Spieler
Moritz Wagner,210.82,111.13013065,57.0,10.5,Aktuelle Spieler
Myles Turner,210.82,113.3980925,62.0,18.0,Aktuelle Spieler
Nic Claxton,210.82,97.52235955,76.0,12.6,Aktuelle Spieler
Nikola Jokic,210.82,128.82023308,69.0,24.5,Aktuelle Spieler
Olivier Sarr,210.82,108.8621688,9.0,4.0,Aktuelle Spieler
Omer Yurtseven,210.82,124.73790175,9.0,4.4,Aktuelle Spieler
Serge Ibaka,210.82,106.59420695,16.0,4.1,Aktuelle Spieler
Steven Adams,210.82,120.20197805,42.0,8.6,Aktuelle Spieler
Tony Bradley,210.82,112.49090776,12.0,1.6,Aktuelle Spieler
Udoka Azubuike,210.82,122.4699399,36.0,3.5,Aktuelle Spieler
Willy Hernangomez,210.82,113.3980925,38.0,6.9,Aktuelle Spieler
Zach Collins,210.82,113.3980925,63.0,11.6,Aktuelle Spieler
Anthony Davis,208.28,114.75886961,56.0,25.9,Aktuelle Spieler
Ben Simmons,208.28,108.8621688,42.0,6.9,Aktuelle Spieler
Bruno Fernando,208.28,108.8621688,39.0,3.9,Aktuelle Spieler
Chance Comanche,208.28,95.2543977,1.0,7.0,Aktuelle Spieler
